Date,BW Pull Ups s,BW Pull Ups r,BW Pull Ups w,Bench s,Bench r,Bench w,Curling Bar Squats s,Curling Bar Squats r,Curling Bar Squats w,Curls s,Curls r,Curls w,BW Wall Sits s,BW Wall Sits r,BW Wall Sits w,BW In Outs s,BW In Outs r,BW In Outs w,Military Press s,Military Press r,Military Press w,One Handed Curls Each Side s,One Handed Curls Each Side r,One Handed Curls Each Side w,Runs s,Runs r,Runs w,BW Push Ups s,BW Push Ups r,BW Push Ups w,Clean s,Clean r,Clean w,Bench Incline s,Bench Incline r,Bench Incline w,One Arm Dumbell Row s,One Arm Dumbell Row r,One Arm Dumbell Row w,Bent Over Barbell Row s,Bent Over Barbell Row r,Bent Over Barbell Row w,One Arm One Side Curls Each Side s,One Arm One Side Curls Each Side r,One Arm One Side Curls Each Side w,BW Perfect Push Ups s,BW Perfect Push Ups r,BW Perfect Push Ups w,Sqauts in Rack s,Sqauts in Rack r,Sqauts in Rack w,Lat Pull Downs s,Lat Pull Downs r,Lat Pull Downs w,BW One Legged Squats s,BW One Legged Squats r,BW One Legged Squats w
7/31/2015,2,10,160,,,,,,,,,,,,,,,,,,,,,,0:20:39,2.2,160,,,,,,,,,,,,,,,,,,,2,25,160,,,,,,,,,
8/1/2015,3,7,160,,,,,,,,,,,,,,,,,,,,,,0:18:23,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:20:00,2.2,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2015,4,5,160,4,8,125,2,8,105,,,,,,,,,,,,,,,,0:18:36,2.2,160,,,,,,,,,,,,,4,10,65,,,,,,,,,,,,,,,
8/7/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:19:21,2.26,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:18:59,2.2,160,,,,,,,,,,,,,,,,,,,1,25,160,,,,,,,,,
8/11/2015,,,,3,8,125,,,,2,8,65,,,,,,,,,,,,,0:26:59,2.99,160,,,,,,,,,,,,,4,10,65,,,,,,,,,,,,,,,
8/13/2015,1,10,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,25,160,,,,,,,,,
8/14/2015,,,,4,8,135,,,,,,,,,,,,,,,,2,6,25,,,,,,,,,,,,,,,,4,10,65,,,,,,,4,6,135,4,10,100,,,
8/16/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:18:58,2.2,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/19/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:19:25,2.2,161,2,25,161,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/21/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:34:12,2.99,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/22/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:21:37,2.2,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2015,,,,4,5,155,,,,4,6,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,65,,,,,,,,,,,,,,,
8/27/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:22:00,2.2,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/2015,3,5,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,20,161,,,,,,,,,
8/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:21:51,2.2,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:24:40,2.74,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:17:13,1.46,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/2015,2,5,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,161,,,,,,,,,
9/5/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:20:15,2.2,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/6/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:22:16,2.2,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2015,1,5,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,161,,,,,,,,,
9/9/2015,1,5,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20,161,,,,,,,,,
9/12/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,161,,,,,,,,,,,,,,,,2,25,161,,,,,,,,,
9/18/2015,1,5,161,,,,4,10,65,2,5,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,65,,,,2,25,161,,,,,,,,,
9/21/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:21:14,2.2,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:24:54,2.04,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/25/2015,10,5,161,,,,2,6,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,65,,,,,,,,,,,,,,,
9/26/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,161,,,,,,,,,
9/27/2015,1,10,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,25,161,,,,,,,,,
9/28/2015,,,,,,,,,,,,,,,,,,,,,,,,,0:19:57,2.2,161,,,,,,,,,,,,,,,,,,,1,25,161,,,,,,,,,
9/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,161,,,,,,,,,
10/1/2015,4,8,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,161,,,,,,,,,
10/3/2015,2,5,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,161,,,,,,,,,
10/4/2015,5,10,161,,,,,,,,,,1,30,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2015,2,10,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,161,,,,,,,,,
10/8/2015,4,10,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,25,161,,,,,,,,,
